Individual	Chromosome	Depth
PV0254-C chr09 42.3537
PV0265-C chr09 21.9513
PV0287-C chr09 19.66
PV0296-C chr09 25.6522
PV0311-C chr09 74.6741
PV0333-C chr09 65.7282
PH0502-C chr10 23.3372
PH0508-C chr10 32.7615
PH0517-C chr10 40.8815
PH0640-C chr10 39.3394
PH0644-C chr10 26.0766
PH0727-C chr10 26.4011
PH0737-C chr10 24.4828
PH0754-C chr10 14.9273
PH0790-C chr10 13.5167
PH0807-C chr10 8.83813
PH0879-C chr10 60.5108
PV0254-C chr10 42.9321
PV0265-C chr10 22.3958
PV0287-C chr10 22.8026
PV0296-C chr10 27.349
PV0311-C chr10 76.3184
PV0333-C chr10 68.5376
PH0502-C chr11 24.0924
PH0508-C chr11 33.5499
PH0517-C chr11 41.1673
PH0640-C chr11 39.9426
PH0644-C chr11 26.4891
PH0727-C chr11 28.1843
PH0737-C chr11 27.0166
PH0754-C chr11 15.3889
PH0790-C chr11 13.681
PH0807-C chr11 9.06473
PH0879-C chr11 61.6636
PV0254-C chr11 43.4251
PV0265-C chr11 22.7369
PV0287-C chr11 20.1023
PV0296-C chr11 26.9799
PV0311-C chr11 77.8653
PV0333-C chr11 68.5946
PH0502-C chr12 24.3955
PH0508-C chr12 34.0267
PH0517-C chr12 42.0354
PH0640-C chr12 40.3954
PH0644-C chr12 26.6109
PH0727-C chr12 28.4832
PH0737-C chr12 27.2233
PH0754-C chr12 15.2763
PH0790-C chr12 13.8715
PH0807-C chr12 9.25532
PH0879-C chr12 62.9715
PV0254-C chr12 44.3131
PV0265-C chr12 23.2591
PV0287-C chr12 22.7849
PV0296-C chr12 27.7415
PV0311-C chr12 80.5957
PV0333-C chr12 71.9299
PH0502-C chr13 24.6125
PH0508-C chr13 34.0963
PH0517-C chr13 42.0766
PH0640-C chr13 40.5771
PH0644-C chr13 27.0027
PH0727-C chr13 30.4641
PH0737-C chr13 26.6737
PH0754-C chr13 15.5719
PH0790-C chr13 13.9638
PH0807-C chr13 9.26654
PH0879-C chr13 62.9424
PV0254-C chr13 44.7173
PV0265-C chr13 23.5383
PV0287-C chr13 19.2715
PV0296-C chr13 27.2126
PV0311-C chr13 80.3169
PV0333-C chr13 70.8042
PH0502-C chr14 25.2888
PH0508-C chr14 35.1899
PH0517-C chr14 43.76
PH0640-C chr14 41.8662
PH0644-C chr14 27.7886
PH0727-C chr14 31.7231
PH0737-C chr14 29.213
PH0754-C chr14 16.0984
PH0790-C chr14 14.3529
PH0807-C chr14 9.46877
PH0879-C chr14 64.6632
PV0254-C chr14 45.9986
PV0265-C chr14 24.4378
PV0287-C chr14 18.3243
PV0296-C chr14 28.2882
PV0311-C chr14 83.7245
PV0333-C chr14 72.1042
