Individual	Chromosome	Missing_Sites	Missing_Count	Missing_Percentage
PV0287-C chr10 1687656 116271 0.068895
PV0296-C chr10 1687656 96438 0.0571432
PV0311-C chr10 1687656 82435 0.0488459
PV0333-C chr10 1687656 74078 0.043894
PH0502-C chr11 2038340 98067 0.0481112
PH0508-C chr11 2038340 91729 0.0450018
PH0517-C chr11 2038340 95740 0.0469696
PH0640-C chr11 2038340 93531 0.0458859
PH0644-C chr11 2038340 101071 0.049585
PH0727-C chr11 2038340 374708 0.18383
PH0737-C chr11 2038340 152810 0.0749679
PH0754-C chr11 2038340 118912 0.0583377
PH0790-C chr11 2038340 131935 0.0647267
PH0807-C chr11 2038340 164419 0.0806632
PH0879-C chr11 2038340 77443 0.0379932
PV0254-C chr11 2038340 88156 0.0432489
PV0265-C chr11 2038340 111156 0.0545326
PV0287-C chr11 2038340 130503 0.0640242
PV0296-C chr11 2038340 109711 0.0538237
PV0311-C chr11 2038340 77417 0.0379804
PV0333-C chr11 2038340 80560 0.0395224
PH0502-C chr12 2271494 109571 0.0482374
PH0508-C chr12 2271494 96461 0.0424659
PH0517-C chr12 2271494 107136 0.0471654
PH0640-C chr12 2271494 96859 0.0426411
PH0644-C chr12 2271494 109866 0.0483673
PH0727-C chr12 2271494 411516 0.181165
PH0737-C chr12 2271494 168802 0.0743132
PH0754-C chr12 2271494 157105 0.0691637
PH0790-C chr12 2271494 153444 0.067552
PH0807-C chr12 2271494 182780 0.0804669
PH0879-C chr12 2271494 83934 0.036951
PV0254-C chr12 2271494 100276 0.0441454
PV0265-C chr12 2271494 120460 0.0530312
PV0287-C chr12 2271494 140462 0.0618368
PV0296-C chr12 2271494 122066 0.0537382
PV0311-C chr12 2271494 83185 0.0366213
PV0333-C chr12 2271494 79281 0.0349026
PH0502-C chr13 2925236 140886 0.0481623
PH0508-C chr13 2925236 123478 0.0422113
PH0517-C chr13 2925236 134648 0.0460298
PH0640-C chr13 2925236 124269 0.0424817
PH0644-C chr13 2925236 136138 0.0465392
PH0727-C chr13 2925236 519053 0.17744
PH0737-C chr13 2925236 205408 0.0702193
PH0754-C chr13 2925236 183287 0.0626572
PH0790-C chr13 2925236 181149 0.0619263
PH0807-C chr13 2925236 221072 0.0755741
PH0879-C chr13 2925236 111785 0.038214
PV0254-C chr13 2925236 120017 0.0410281
PV0265-C chr13 2925236 151411 0.0517603
PV0287-C chr13 2925236 183430 0.0627061
PV0296-C chr13 2925236 145388 0.0497013
PV0311-C chr13 2925236 114698 0.0392098
PV0333-C chr13 2925236 111625 0.0381593
PH0502-C chr14 3291936 87192 0.0264865
PH0508-C chr14 3291936 67784 0.0205909
PH0517-C chr14 3291936 76015 0.0230913
PH0640-C chr14 3291936 63571 0.0193111
PH0644-C chr14 3291936 81055 0.0246223
PH0727-C chr14 3291936 514292 0.156228
PH0737-C chr14 3291936 134997 0.0410084
PH0754-C chr14 3291936 118852 0.036104
PH0790-C chr14 3291936 122737 0.0372841
PH0807-C chr14 3291936 160389 0.0487218
PH0879-C chr14 3291936 59872 0.0181875
PV0254-C chr14 3291936 61631 0.0187218
PV0265-C chr14 3291936 86647 0.026321
PV0287-C chr14 3291936 142301 0.0432271
PV0296-C chr14 3291936 84606 0.025701
PV0311-C chr14 3291936 56973 0.0173068
PV0333-C chr14 3291936 59321 0.0180201
