sample	cross	chrom	tract_start_min	tract_start_mid	tract_start_max	tract_stop_min	tract_stop_mid	tract_stop_max	tract_length_min	tract_length_mid	tract_length_max	tract_support	tract_is_complex	tract_blocks	co_pos_mid	co_pos_min	co_pos_max	co_pos_range	tract_type
7C111/PG0038-C/ERR015457	hb3_dd2	b'Pf3D7_07_v3'	1262562	1262749	1262937	1265377	1265597	1265817	2440	2848	3255	5	True	3					NCO
7C111/PG0038-C/ERR015457	hb3_dd2	b'Pf3D7_10_v3'	146719	147947	149176	149766	149894	150023	590	1947	3304	2	True	2	148371	146719	150023	3304	CO
7C111/PG0038-C/ERR015457	hb3_dd2	b'Pf3D7_10_v3'	1098336	1098509	1098682	1099115	1099227	1099339	433	718	1003	4	False	1					NCO
7C111/PG0038-C/ERR015457	hb3_dd2	b'Pf3D7_11_v3'	1013355	1013578	1013801	1014484	1015835	1017187	683	2257	3832	4	False	1					NCO
7C111/PG0038-C/ERR015457	hb3_dd2	b'Pf3D7_11_v3'	1247157	1248551	1249945	1250543	1250764	1250985	598	2213	3828	7	True	2	1249071	1247157	1250985	3828	CO
7C111/PG0038-C/ERR015457	hb3_dd2	b'Pf3D7_11_v3'	1406311	1407496	1408681	1409572	1410356	1411141	891	2860	4830	4	True	3					NCO
7C111/PG0038-C/ERR015457	hb3_dd2	b'Pf3D7_12_v3'	662224	662457	662690	668306	668695	669085	5616	6238	6861	8	True	3					NCO
7C111/PG0038-C/ERR015457	hb3_dd2	b'Pf3D7_12_v3'	1784838	1785131	1785424	1785741	1786207	1786674	317	1076	1836	4	False	1					NCO
7C111/PG0038-C/ERR015457	hb3_dd2	b'Pf3D7_14_v3'	505865	506045	506225	507288	507922	508556	1063	1877	2691	4	False	1					NCO
7C12/PG0035-Cx/ERR037704	hb3_dd2	b'Pf3D7_12_v3'	1962499	1962571	1962644	1963016	1963982	1964949	372	1411	2450	2	True	2	1963724	1962499	1964949	2450	CO
7C12/PG0035-Cx/ERR037704	hb3_dd2	b'Pf3D7_13_v3'	2072465	2072769	2073073	2075580	2075789	2075999	2507	3020	3534	3	False	1					NCO
7C126/PG0047-C/ERR015452	hb3_dd2	b'Pf3D7_11_v3'	985117	985591	986065	986262	986833	987405	197	1242	2288	4	False	1					NCO
7C140/PG0039-C/ERR015454	hb3_dd2	b'Pf3D7_08_v3'	1027412	1028023	1028634	1030687	1031679	1032671	2053	3656	5259	4	True	2	1030041	1027412	1032671	5259	CO
7C140/PG0039-C/ERR015454	hb3_dd2	b'Pf3D7_13_v3'	1587683	1587871	1588059	1590352	1590899	1591447	2293	3028	3764	3	True	2	1589565	1587683	1591447	3764	CO
7C140/PG0039-C/ERR015454	hb3_dd2	b'Pf3D7_13_v3'	2628681	2629017	2629353	2631456	2631832	2632208	2103	2815	3527	4	False	1					NCO
7C159/PG0040-Cx/ERR107475	hb3_dd2	b'Pf3D7_02_v3'	333596	334109	334623	340845	342525	344206	6222	8416	10610	8	False	1					NCO
7C159/PG0040-Cx/ERR107475	hb3_dd2	b'Pf3D7_03_v3'	347953	348447	348941	350622	351235	351849	1681	2788	3896	11	True	2	349901	347953	351849	3896	CO
7C159/PG0040-Cx/ERR107475	hb3_dd2	b'Pf3D7_08_v3'	1191438	1191660	1191882	1193339	1193872	1194406	1457	2212	2968	4	False	1					NCO
7C159/PG0040-Cx/ERR107475	hb3_dd2	b'Pf3D7_09_v3'	197729	198033	198337	202625	203824	205023	4288	5791	7294	7	False	1					NCO
7C159/PG0040-Cx/ERR107475	hb3_dd2	b'Pf3D7_12_v3'	2033720	2034751	2035783	2038072	2038670	2039268	2289	3919	5548	9	True	2	2036494	2033720	2039268	5548	CO
7C159/PG0040-Cx/ERR107475	hb3_dd2	b'Pf3D7_13_v3'	1340676	1341071	1341467	1343027	1343520	1344013	1560	2449	3337	3	False	1					NCO
7C170/PG0041-C/ERR015446	hb3_dd2	b'Pf3D7_05_v3'	124374	125466	126559	128428	128801	129174	1869	3335	4800	3	True	2	126774	124374	129174	4800	CO
7C170/PG0041-C/ERR015446	hb3_dd2	b'Pf3D7_09_v3'	1273559	1273776	1273993	1274562	1275545	1276529	569	1769	2970	3	False	1					NCO
7C170/PG0041-C/ERR015446	hb3_dd2	b'Pf3D7_14_v3'	3053639	3054234	3054829	3054932	3055330	3055729	103	1096	2090	2	False	1					NCO
7C183/PG0042-C/ERR015448	hb3_dd2	b'Pf3D7_01_v3'	127692	128117	128543	130198	130648	131098	1655	2531	3406	6	False	1					NCO
7C183/PG0042-C/ERR015448	hb3_dd2	b'Pf3D7_02_v3'	170788	171031	171275	173073	173272	173472	1798	2241	2684	6	True	3					NCO
7C183/PG0042-C/ERR015448	hb3_dd2	b'Pf3D7_02_v3'	347518	348138	348758	360734	360766	360799	11976	12628	13281	20	True	2	354158	347518	360799	13281	CO
7C183/PG0042-C/ERR015448	hb3_dd2	b'Pf3D7_04_v3'	132597	132604	132611	132862	132866	132871	251	262	274	26	True	5					NCO
7C183/PG0042-C/ERR015448	hb3_dd2	b'Pf3D7_07_v3'	631868	632777	633686	635093	635146	635199	1407	2369	3331	3	True	2	633533	631868	635199	3331	CO
7C183/PG0042-C/ERR015448	hb3_dd2	b'Pf3D7_10_v3'	1177007	1177518	1178030	1179653	1179780	1179908	1623	2262	2901	6	False	1					NCO
7C183/PG0042-C/ERR015448	hb3_dd2	b'Pf3D7_11_v3'	1401587	1401994	1402401	1404995	1405323	1405652	2594	3329	4065	4	False	1					NCO
7C183/PG0042-C/ERR015448	hb3_dd2	b'Pf3D7_11_v3'	1830364	1830894	1831425	1832305	1832549	1832793	880	1655	2429	2	False	1					NCO
7C188/PG0030-C/ERR019046	hb3_dd2	b'Pf3D7_02_v3'	198318	198785	199252	200375	201777	203180	1123	2992	4862	4	False	1					NCO
7C188/PG0030-C/ERR019046	hb3_dd2	b'Pf3D7_08_v3'	792319	792438	792557	794364	794965	795567	1807	2527	3248	3	False	1					NCO
7C188/PG0030-C/ERR019046	hb3_dd2	b'Pf3D7_10_v3'	244211	244383	244556	246572	246967	247362	2016	2584	3151	7	False	1					NCO
7C188/PG0030-C/ERR019046	hb3_dd2	b'Pf3D7_12_v3'	1387200	1389402	1391604	1395047	1395685	1396323	3443	6283	9123	5	False	1					NCO
7C20/PG0037-C/ERR015451	hb3_dd2	b'Pf3D7_02_v3'	535415	535951	536487	538027	538695	539364	1540	2744	3949	3	False	1					NCO
7C20/PG0037-C/ERR015451	hb3_dd2	b'Pf3D7_10_v3'	162223	162768	163313	163622	163993	164365	309	1225	2142	2	False	1					NCO
7C20/PG0037-C/ERR015451	hb3_dd2	b'Pf3D7_11_v3'	626030	627805	629580	630650	631324	631998	1070	3519	5968	6	False	1					NCO
7C20/PG0037-C/ERR015451	hb3_dd2	b'Pf3D7_11_v3'	1156791	1158219	1159648	1160289	1160968	1161647	641	2749	4856	2	False	1					NCO
7C20/PG0037-C/ERR015451	hb3_dd2	b'Pf3D7_12_v3'	590139	591402	592665	593718	594108	594499	1053	2706	4360	4	True	2	592319	590139	594499	4360	CO
7C20/PG0037-C/ERR015451	hb3_dd2	b'Pf3D7_12_v3'	701179	701615	702052	702331	702816	703302	279	1201	2123	3	False	1					NCO
7C20/PG0037-C/ERR015451	hb3_dd2	b'Pf3D7_12_v3'	1983354	1984422	1985490	1985960	1986132	1986304	470	1710	2950	4	True	2	1984829	1983354	1986304	2950	CO
7C3/PG0034-C/ERR019047	hb3_dd2	b'Pf3D7_03_v3'	376212	377090	377968	378709	380939	383169	741	3849	6957	5	False	1					NCO
7C3/PG0034-C/ERR019047	hb3_dd2	b'Pf3D7_07_v3'	1000054	1000350	1000647	1002547	1002937	1003327	1900	2587	3273	5	True	3					NCO
7C3/PG0034-C/ERR019047	hb3_dd2	b'Pf3D7_08_v3'	1091414	1091828	1092242	1094831	1095654	1096478	2589	3826	5064	4	False	1					NCO
7C3/PG0034-C/ERR019047	hb3_dd2	b'Pf3D7_08_v3'	1202631	1203122	1203613	1227264	1227421	1227578	23651	24299	24947	44	True	5					NCO
7C3/PG0034-C/ERR019047	hb3_dd2	b'Pf3D7_13_v3'	658951	659310	659669	661869	662020	662172	2200	2710	3221	5	False	1					NCO
7C408/PG0031-C/ERR015458	hb3_dd2	b'Pf3D7_03_v3'	361403	361524	361646	362208	362840	363473	562	1316	2070	2	True	2	362438	361403	363473	2070	CO
7C421/PG0043-C/ERR015459	hb3_dd2	b'Pf3D7_06_v3'	195926	196677	197428	198214	199797	201381	786	3120	5455	3	True	2	198653	195926	201381	5455	CO
7C421/PG0043-C/ERR015459	hb3_dd2	b'Pf3D7_06_v3'	297638	297849	298060	300382	301243	302105	2322	3394	4467	8	True	3					NCO
7C421/PG0043-C/ERR015459	hb3_dd2	b'Pf3D7_07_v3'	865008	865341	865675	865886	867125	868364	211	1784	3356	3	False	1					NCO
7C421/PG0043-C/ERR015459	hb3_dd2	b'Pf3D7_07_v3'	961776	962211	962646	963301	964441	965582	655	2230	3806	3	False	1					NCO
7C421/PG0043-C/ERR015459	hb3_dd2	b'Pf3D7_11_v3'	983911	984176	984441	989267	989432	989598	4826	5256	5687	9	True	2	986754	983911	989598	5687	CO
7C424/PG0044-C/ERR019043	hb3_dd2	b'Pf3D7_06_v3'	267979	268215	268451	268995	269902	270810	544	1687	2831	2	False	1					NCO
7C424/PG0044-C/ERR019043	hb3_dd2	b'Pf3D7_07_v3'	414615	414876	415137	416763	417741	418720	1626	2865	4105	8	False	1					NCO
7C424/PG0044-C/ERR019043	hb3_dd2	b'Pf3D7_09_v3'	1273559	1273776	1273993	1274562	1275545	1276529	569	1769	2970	3	True	3					NCO
7C424/PG0044-C/ERR019043	hb3_dd2	b'Pf3D7_14_v3'	2786243	2787060	2787877	2788731	2789749	2790768	854	2689	4525	3	False	1					NCO
7C46/PG0046-Cx/ERR107476	hb3_dd2	b'Pf3D7_09_v3'	143622	144842	146063	146668	147031	147395	605	2189	3773	4	False	1					NCO
7C46/PG0046-Cx/ERR107476	hb3_dd2	b'Pf3D7_14_v3'	240550	240726	240902	241063	242184	243305	161	1458	2755	3	False	1					NCO
7C46/PG0046-Cx/ERR107476	hb3_dd2	b'Pf3D7_14_v3'	390036	390837	391639	392207	393038	393869	568	2201	3833	5	True	3					NCO
7C46/PG0046-Cx/ERR107476	hb3_dd2	b'Pf3D7_14_v3'	906831	907558	908285	920166	920695	921224	11881	13137	14393	22	True	3					NCO
7C7/PG0048-C/ERR019049	hb3_dd2	b'Pf3D7_02_v3'	619383	620343	621303	634533	636215	637898	13230	15872	18515	25	True	4	628640	619383	637898	18515	CO
7C7/PG0048-C/ERR019049	hb3_dd2	b'Pf3D7_03_v3'	271828	272628	273429	273909	274472	275035	480	1844	3207	3	True	2	273431	271828	275035	3207	CO
7C7/PG0048-C/ERR019049	hb3_dd2	b'Pf3D7_09_v3'	1379985	1380045	1380105	1382634	1383266	1383899	2529	3221	3914	7	False	1					NCO
7C7/PG0048-C/ERR019049	hb3_dd2	b'Pf3D7_11_v3'	485628	486768	487909	489489	489744	490000	1580	2976	4372	3	True	2	487814	485628	490000	4372	CO
7C7/PG0048-C/ERR019049	hb3_dd2	b'Pf3D7_11_v3'	1746703	1746795	1746888	1749819	1750986	1752154	2931	4191	5451	10	False	1					NCO
7C7/PG0048-C/ERR019049	hb3_dd2	b'Pf3D7_12_v3'	2091687	2091948	2092209	2093692	2094010	2094329	1483	2062	2642	3	False	1					NCO
7C7/PG0048-C/ERR019049	hb3_dd2	b'Pf3D7_14_v3'	1200772	1200963	1201155	1206467	1208654	1210842	5312	7691	10070	9	True	2	1205807	1200772	1210842	10070	CO
AL2/PG0103-CW/ERR045627	7g8_gb4	b'Pf3D7_05_v3'	305003	305022	305041	313121	314158	315195	8080	9136	10192	16	True	2	310099	305003	315195	10192	CO
AL2/PG0103-CW/ERR045627	7g8_gb4	b'Pf3D7_06_v3'	1064736	1064769	1064803	1065491	1066064	1066638	688	1295	1902	3	True	2	1065687	1064736	1066638	1902	CO
AL2/PG0103-CW/ERR045627	7g8_gb4	b'Pf3D7_07_v3'	118094	118787	119481	122722	123801	124880	3241	5014	6786	10	True	4	121487	118094	124880	6786	CO
AL2/PG0103-CW/ERR045627	7g8_gb4	b'Pf3D7_09_v3'	617210	617418	617626	617912	617987	618063	286	569	853	3	True	2	617636	617210	618063	853	CO
AUD/PG0112-C/ERR029406	7g8_gb4	b'Pf3D7_03_v3'	626987	628122	629257	629705	630984	632264	448	2862	5277	2	False	1					NCO
AUD/PG0112-C/ERR029406	7g8_gb4	b'Pf3D7_04_v3'	912054	912315	912577	918265	918863	919462	5688	6548	7408	14	False	1					NCO
AUD/PG0112-C/ERR029406	7g8_gb4	b'Pf3D7_10_v3'	474445	474631	474818	476761	477013	477265	1943	2382	2820	3	True	2	475855	474445	477265	2820	CO
AUD/PG0112-C/ERR029406	7g8_gb4	b'Pf3D7_13_v3'	2656398	2656743	2657089	2657599	2657866	2658134	510	1123	1736	2	False	1					NCO
AUD/PG0112-C/ERR029406	7g8_gb4	b'Pf3D7_14_v3'	2397495	2398118	2398742	2406600	2407233	2407867	7858	9115	10372	15	True	3					NCO
B1SD/PG0015-C/ERR019044	hb3_dd2	b'Pf3D7_09_v3'	603689	603845	604002	604986	605247	605509	984	1402	1820	3	False	1					NCO
B1SD/PG0015-C/ERR019044	hb3_dd2	b'Pf3D7_10_v3'	746645	747519	748394	750032	750563	751094	1638	3044	4449	5	True	3					NCO
B1SD/PG0015-C/ERR019044	hb3_dd2	b'Pf3D7_11_v3'	930558	931043	931528	933752	933940	934128	2224	2897	3570	5	True	2	932343	930558	934128	3570	CO
B1SD/PG0015-C/ERR019044	hb3_dd2	b'Pf3D7_13_v3'	1081278	1081694	1082111	1085897	1086216	1086535	3786	4522	5257	10	True	3					NCO
B1SD/PG0015-C/ERR019044	hb3_dd2	b'Pf3D7_13_v3'	1905400	1906200	1907000	1907893	1908116	1908339	893	1916	2939	3	False	1					NCO
B4R3/PG0018-C/ERR019042	hb3_dd2	b'Pf3D7_04_v3'	262969	263551	264133	264246	264350	264455	113	799	1486	2	False	1					NCO
B4R3/PG0018-C/ERR019042	hb3_dd2	b'Pf3D7_05_v3'	104358	105065	105772	106132	106582	107033	360	1517	2675	3	False	1					NCO
B4R3/PG0018-C/ERR019042	hb3_dd2	b'Pf3D7_09_v3'	1284037	1284685	1285334	1293192	1293509	1293826	7858	8824	9789	15	False	1					NCO
C01/PG0065-C/ERR019064	3d7_hb3	b'Pf3D7_06_v3'	222688	222915	223142	224552	224680	224808	1410	1765	2120	4	False	1					NCO
C01/PG0065-C/ERR019064	3d7_hb3	b'Pf3D7_06_v3'	300173	300277	300382	303742	304192	304643	3360	3915	4470	10	True	2	302408	300173	304643	4470	CO
C01/PG0065-C/ERR019064	3d7_hb3	b'Pf3D7_08_v3'	985406	986015	986624	990445	990850	991256	3821	4835	5850	11	True	2	988331	985406	991256	5850	CO
C01/PG0065-C/ERR019064	3d7_hb3	b'Pf3D7_10_v3'	425198	425246	425295	425894	426084	426274	599	838	1076	2	False	1					NCO
C01/PG0065-C/ERR019064	3d7_hb3	b'Pf3D7_11_v3'	211485	211841	212197	213165	213659	214153	968	1818	2668	5	False	1					NCO
C01/PG0065-C/ERR019064	3d7_hb3	b'Pf3D7_11_v3'	1557234	1557352	1557470	1558031	1558273	1558515	561	921	1281	3	True	2	1557874	1557234	1558515	1281	CO
C02/PG0067-C/ERR019073	3d7_hb3	b'Pf3D7_08_v3'	427417	447379	467341	469091	469547	470004	1750	22168	42587	11	False	1					NCO
C02/PG0067-C/ERR019073	3d7_hb3	b'Pf3D7_09_v3'	148153	149386	150620	150897	150977	151057	277	1591	2904	4	False	1					NCO
C02/PG0067-C/ERR019073	3d7_hb3	b'Pf3D7_11_v3'	300965	301411	301858	304527	304779	305031	2669	3368	4066	9	True	2	302998	300965	305031	4066	CO
C03/PG0066-C/ERR019072	3d7_hb3	b'Pf3D7_04_v3'	251022	251370	251718	251910	252426	252942	192	1056	1920	2	False	1					NCO
C03/PG0066-C/ERR019072	3d7_hb3	b'Pf3D7_09_v3'	966182	966694	967207	971933	971988	972044	4726	5294	5862	10	False	1					NCO
C03/PG0066-C/ERR019072	3d7_hb3	b'Pf3D7_12_v3'	122749	123567	124385	132165	132290	132415	7780	8723	9666	20	False	1					NCO
C03/PG0066-C/ERR019072	3d7_hb3	b'Pf3D7_12_v3'	1572547	1573079	1573612	1573734	1574294	1574855	122	1215	2308	2	True	2	1573701	1572547	1574855	2308	CO
C03/PG0066-C/ERR019072	3d7_hb3	b'Pf3D7_14_v3'	2808722	2809624	2810527	2812124	2812333	2812542	1597	2709	3820	9	True	2	2810632	2808722	2812542	3820	CO
C04/PG0061-C/ERR019059	3d7_hb3	b'Pf3D7_09_v3'	306332	307341	308350	308474	309325	310176	124	1984	3844	2	False	1					NCO
C04/PG0061-C/ERR019059	3d7_hb3	b'Pf3D7_13_v3'	2350972	2351405	2351839	2352396	2352554	2352712	557	1149	1740	3	False	1					NCO
C04/PG0061-C/ERR019059	3d7_hb3	b'Pf3D7_14_v3'	2891817	2892879	2893941	2922794	2923016	2923239	28853	30137	31422	77	True	9					NCO
C04/PG0061-C/ERR019059	3d7_hb3	b'Pf3D7_14_v3'	3086351	3088615	3090879	3104486	3104821	3105157	13607	16206	18806	12	True	2	3095754	3086351	3105157	18806	CO
C05/PG0068-C/ERR019065	3d7_hb3	b'Pf3D7_10_v3'	1189643	1189997	1190352	1193501	1193966	1194431	3149	3969	4788	7	True	2	1192037	1189643	1194431	4788	CO
C05/PG0068-C/ERR019065	3d7_hb3	b'Pf3D7_11_v3'	1725348	1725533	1725719	1726177	1726651	1727126	458	1118	1778	2	False	1					NCO
C05/PG0068-C/ERR019065	3d7_hb3	b'Pf3D7_14_v3'	1156510	1156902	1157294	1160381	1161214	1162048	3087	4312	5538	7	True	4	1159279	1156510	1162048	5538	CO
C05/PG0068-C/ERR019065	3d7_hb3	b'Pf3D7_14_v3'	1702394	1702851	1703309	1703484	1703991	1704499	175	1140	2105	2	True	2	1703446	1702394	1704499	2105	CO
C06/PG0069-C/ERR019055	3d7_hb3	b'Pf3D7_06_v3'	175559	175858	176157	182969	183007	183045	6812	7149	7486	26	True	3					NCO
C06/PG0069-C/ERR019055	3d7_hb3	b'Pf3D7_09_v3'	387855	388394	388934	390630	390898	391167	1696	2504	3312	5	True	4	389511	387855	391167	3312	CO
C06/PG0069-C/ERR019055	3d7_hb3	b'Pf3D7_10_v3'	1506753	1507314	1507876	1510826	1511068	1511311	2950	3754	4558	2	False	1					NCO
C06/PG0069-C/ERR019055	3d7_hb3	b'Pf3D7_12_v3'	1547923	1548538	1549153	1549305	1549491	1549677	152	953	1754	3	False	1					NCO
C06/PG0069-C/ERR019055	3d7_hb3	b'Pf3D7_12_v3'	1955034	1955576	1956119	1956902	1957034	1957166	783	1458	2132	6	False	1					NCO
C07/PG0070-C/ERR019056	3d7_hb3	b'Pf3D7_05_v3'	615926	616347	616768	618112	618287	618462	1344	1940	2536	2	False	1					NCO
C07/PG0070-C/ERR019056	3d7_hb3	b'Pf3D7_06_v3'	72772	73082	73393	76128	76238	76348	2735	3156	3576	11	True	3					NCO
C08/PG0071-C/ERR019074	3d7_hb3	b'Pf3D7_03_v3'	654095	654408	654721	655532	655667	655803	811	1259	1708	2	False	1					NCO
C08/PG0071-C/ERR019074	3d7_hb3	b'Pf3D7_12_v3'	1196311	1196692	1197074	1197323	1197971	1198620	249	1279	2309	2	False	1					NCO
C08/PG0071-C/ERR019074	3d7_hb3	b'Pf3D7_12_v3'	1394146	1394596	1395047	1396323	1396984	1397645	1276	2388	3499	2	False	1					NCO
C09/PG0072-C/ERR019057	3d7_hb3	b'Pf3D7_06_v3'	888991	889414	889837	899869	900341	900813	10032	10927	11822	19	True	3					NCO
C09/PG0072-C/ERR019057	3d7_hb3	b'Pf3D7_09_v3'	593037	593109	593181	593314	593464	593614	133	355	577	2	False	1					NCO
C09/PG0072-C/ERR019057	3d7_hb3	b'Pf3D7_10_v3'	902296	902989	903683	905270	906791	908313	1587	3802	6017	6	False	1					NCO
C09/PG0072-C/ERR019057	3d7_hb3	b'Pf3D7_10_v3'	1128748	1129194	1129640	1130399	1130477	1130555	759	1283	1807	8	True	2	1129651	1128748	1130555	1807	CO
C09/PG0072-C/ERR019057	3d7_hb3	b'Pf3D7_12_v3'	1147103	1147161	1147219	1148042	1148862	1149682	823	1701	2579	5	True	2	1148392	1147103	1149682	2579	CO
C09/PG0072-C/ERR019057	3d7_hb3	b'Pf3D7_13_v3'	1034783	1035531	1036280	1037210	1039671	1042132	930	4140	7349	5	True	2	1038457	1034783	1042132	7349	CO
C09/PG0072-C/ERR019057	3d7_hb3	b'Pf3D7_13_v3'	1323948	1324052	1324157	1324448	1324823	1325199	291	771	1251	4	False	1					NCO
C09/PG0072-C/ERR019057	3d7_hb3	b'Pf3D7_13_v3'	2370991	2371400	2371810	2379258	2379729	2380200	7448	8329	9209	15	False	1					NCO
C10/PG0063-C/ERR019060	3d7_hb3	b'Pf3D7_03_v3'	407185	407397	407609	407803	408153	408504	194	756	1319	2	False	1					NCO
C10/PG0063-C/ERR019060	3d7_hb3	b'Pf3D7_05_v3'	598068	598791	599514	600557	600831	601105	1043	2040	3037	4	False	1					NCO
C10/PG0063-C/ERR019060	3d7_hb3	b'Pf3D7_11_v3'	966147	967114	968081	969495	969703	969912	1414	2589	3765	5	True	2	968029	966147	969912	3765	CO
C10/PG0063-C/ERR019060	3d7_hb3	b'Pf3D7_14_v3'	1957053	1957779	1958506	1958795	1959241	1959688	289	1462	2635	4	False	1					NCO
C11/PG0064-C/ERR019071	3d7_hb3	b'Pf3D7_05_v3'	1173926	1174102	1174278	1174639	1174847	1175055	361	745	1129	8	False	1					NCO
C11/PG0064-C/ERR019071	3d7_hb3	b'Pf3D7_11_v3'	985183	985473	985764	987253	987751	988250	1489	2278	3067	10	True	3					NCO
C11/PG0064-C/ERR019071	3d7_hb3	b'Pf3D7_12_v3'	1267917	1269895	1271874	1276933	1279263	1281594	5059	9368	13677	12	False	1					NCO
C11/PG0064-C/ERR019071	3d7_hb3	b'Pf3D7_13_v3'	2586210	2586969	2587729	2588427	2588570	2588714	698	1601	2504	3	True	2	2587462	2586210	2588714	2504	CO
C11/PG0064-C/ERR019071	3d7_hb3	b'Pf3D7_14_v3'	2016479	2016935	2017392	2018823	2019212	2019602	1431	2277	3123	4	False	1					NCO
C12/PG0058-C/ERR019063	3d7_hb3	b'Pf3D7_01_v3'	322254	322564	322875	323333	323773	324213	458	1209	1959	2	True	2	323233	322254	324213	1959	CO
C12/PG0058-C/ERR019063	3d7_hb3	b'Pf3D7_09_v3'	1416204	1416524	1416844	1417530	1417853	1418176	686	1329	1972	2	False	1					NCO
C12/PG0058-C/ERR019063	3d7_hb3	b'Pf3D7_10_v3'	1485679	1486223	1486767	1497847	1498362	1498878	11080	12139	13199	23	True	3					NCO
C12/PG0058-C/ERR019063	3d7_hb3	b'Pf3D7_12_v3'	200894	201240	201586	202845	203191	203537	1259	1951	2643	3	True	2	202215	200894	203537	2643	CO
C12/PG0058-C/ERR019063	3d7_hb3	b'Pf3D7_14_v3'	2957800	2958923	2960046	2960244	2960737	2961230	198	1814	3430	2	False	1					NCO
C13/PG0054-C/ERR019062	3d7_hb3	b'Pf3D7_03_v3'	878451	878865	879280	879834	880463	881093	554	1598	2642	4	False	1					NCO
