sample	chrom	co_pos_mid	co_pos_min	co_pos_max	co_pos_range	cross	co_from_parent	co_to_parent
GC06/PG0028-C/ERR015456	b'Pf3D7_01_v3'	556494	555900	557088	1188	hb3_dd2	dd2	hb3
C14/PG0060-C/ERR019058	b'Pf3D7_02_v3'	144346	143543	145149	1606	3d7_hb3	hb3	3d7
JB8/PG0087-C/ERR029091	b'Pf3D7_02_v3'	153576	151909	155243	3334	7g8_gb4	7g8	gb4
7C424/PG0044-C/ERR019043	b'Pf3D7_02_v3'	156568	156104	157033	929	hb3_dd2	dd2	hb3
D43/PG0029-Cx/ERR107474	b'Pf3D7_02_v3'	168226	167317	169136	1819	hb3_dd2	dd2	hb3
C11/PG0064-C/ERR019071	b'Pf3D7_02_v3'	180086	179137	181036	1899	3d7_hb3	3d7	hb3
7C111/PG0038-C/ERR015457	b'Pf3D7_02_v3'	184398	183453	185343	1890	hb3_dd2	hb3	dd2
C15/PG0057-C/ERR019069	b'Pf3D7_02_v3'	209008	208731	209286	555	3d7_hb3	3d7	hb3
C14/PG0060-C/ERR019058	b'Pf3D7_02_v3'	209611	209542	209681	139	3d7_hb3	3d7	hb3
QC23/PG0045-C/ERR012892	b'Pf3D7_02_v3'	213843	212888	214799	1911	hb3_dd2	dd2	hb3
CH3_116/PG0032-Cx/ERR037703	b'Pf3D7_02_v3'	224243	223017	225470	2453	hb3_dd2	dd2	hb3
7C408/PG0031-C/ERR015458	b'Pf3D7_02_v3'	240720	239203	242237	3034	hb3_dd2	dd2	hb3
XF12/PG0102-C/ERR029143	b'Pf3D7_02_v3'	258490	257473	259507	2034	7g8_gb4	gb4	7g8
JF6/PG0079-C/ERR027102	b'Pf3D7_02_v3'	265384	262627	268141	5514	7g8_gb4	gb4	7g8
7C421/PG0043-C/ERR015459	b'Pf3D7_02_v3'	270532	269971	271093	1122	hb3_dd2	dd2	hb3
XD8/PG0105-C/ERR029144	b'Pf3D7_02_v3'	341487	339959	343015	3056	7g8_gb4	gb4	7g8
C15/PG0057-C/ERR019069	b'Pf3D7_02_v3'	346395	346073	346718	645	3d7_hb3	hb3	3d7
JC3/PG0077-CW/ERR045636	b'Pf3D7_02_v3'	347907	347518	348296	778	7g8_gb4	7g8	gb4
C14/PG0060-C/ERR019058	b'Pf3D7_02_v3'	353195	352988	353403	415	3d7_hb3	hb3	3d7
7C183/PG0042-C/ERR015448	b'Pf3D7_02_v3'	354158	347518	360799	13281	hb3_dd2	dd2	hb3
C02/PG0067-C/ERR019073	b'Pf3D7_02_v3'	356772	356475	357070	595	3d7_hb3	hb3	3d7
C11/PG0064-C/ERR019071	b'Pf3D7_02_v3'	373836	373697	373975	278	3d7_hb3	hb3	3d7
C13/PG0054-C/ERR019062	b'Pf3D7_02_v3'	376016	374366	377666	3300	3d7_hb3	hb3	3d7
C06/PG0069-C/ERR019055	b'Pf3D7_02_v3'	386254	385879	386630	751	3d7_hb3	hb3	3d7
LA10/PG0086-C/ERR029090	b'Pf3D7_02_v3'	407016	406465	407568	1103	7g8_gb4	gb4	7g8
C06/PG0069-C/ERR019055	b'Pf3D7_02_v3'	415606	415166	416046	880	3d7_hb3	3d7	hb3
GC06/PG0028-C/ERR015456	b'Pf3D7_02_v3'	437457	435851	439064	3213	hb3_dd2	hb3	dd2
C04/PG0061-C/ERR019059	b'Pf3D7_02_v3'	478590	477756	479424	1668	3d7_hb3	3d7	hb3
C14/PG0060-C/ERR019058	b'Pf3D7_02_v3'	478590	477756	479424	1668	3d7_hb3	3d7	hb3
XD8/PG0105-C/ERR029144	b'Pf3D7_02_v3'	486876	486595	487158	563	7g8_gb4	7g8	gb4
C10/PG0063-C/ERR019060	b'Pf3D7_02_v3'	501253	500976	501530	554	3d7_hb3	hb3	3d7
7C408/PG0031-C/ERR015458	b'Pf3D7_02_v3'	507981	507476	508487	1011	hb3_dd2	hb3	dd2
LA10/PG0086-C/ERR029090	b'Pf3D7_02_v3'	537052	536483	537622	1139	7g8_gb4	7g8	gb4
NF10/PG0096-C/ERR027108	b'Pf3D7_02_v3'	557370	556953	557788	835	7g8_gb4	gb4	7g8
WF12/PG0097-C/ERR027109	b'Pf3D7_02_v3'	595315	593156	597475	4319	7g8_gb4	7g8	gb4
7C408/PG0031-C/ERR015458	b'Pf3D7_02_v3'	614432	614215	614650	435	hb3_dd2	dd2	hb3
C04/PG0061-C/ERR019059	b'Pf3D7_02_v3'	621122	620536	621708	1172	3d7_hb3	hb3	3d7
7C7/PG0048-C/ERR019049	b'Pf3D7_02_v3'	628640	619383	637898	18515	hb3_dd2	hb3	dd2
D43/PG0029-Cx/ERR107474	b'Pf3D7_02_v3'	639748	638784	640712	1928	hb3_dd2	hb3	dd2
NIC/PG0095-CW/ERR045631	b'Pf3D7_02_v3'	674494	674310	674678	368	7g8_gb4	7g8	gb4
C15/PG0057-C/ERR019069	b'Pf3D7_02_v3'	677065	676139	677992	1853	3d7_hb3	3d7	hb3
3BD5/PG0024-C/ERR019053	b'Pf3D7_02_v3'	693467	692628	694307	1679	hb3_dd2	dd2	hb3
7C20/PG0037-C/ERR015451	b'Pf3D7_02_v3'	711061	710268	711854	1586	hb3_dd2	dd2	hb3
7C101/PG0074-C/ERR019048	b'Pf3D7_02_v3'	739218	738539	739897	1358	hb3_dd2	dd2	hb3
7C183/PG0042-C/ERR015448	b'Pf3D7_02_v3'	743655	743211	744099	888	hb3_dd2	hb3	dd2
7C12/PG0035-Cx/ERR037704	b'Pf3D7_02_v3'	748208	746864	749553	2689	hb3_dd2	dd2	hb3
7C126/PG0047-C/ERR015452	b'Pf3D7_02_v3'	750898	749850	751947	2097	hb3_dd2	dd2	hb3
JC3/PG0077-CW/ERR045636	b'Pf3D7_02_v3'	780844	779385	782304	2919	7g8_gb4	gb4	7g8
KA6/PG0091-C/ERR027117	b'Pf3D7_02_v3'	825313	823988	826638	2650	7g8_gb4	gb4	7g8
7C408/PG0031-C/ERR015458	b'Pf3D7_02_v3'	825498	825357	825639	282	hb3_dd2	hb3	dd2
WF12/PG0097-C/ERR027109	b'Pf3D7_03_v3'	90776	89401	92152	2751	7g8_gb4	gb4	7g8
AUD/PG0112-C/ERR029406	b'Pf3D7_03_v3'	149434	148800	150068	1268	7g8_gb4	7g8	gb4
7C424/PG0044-C/ERR019043	b'Pf3D7_03_v3'	212576	211353	213800	2447	hb3_dd2	dd2	hb3
AUD/PG0112-C/ERR029406	b'Pf3D7_03_v3'	240273	239400	241146	1746	7g8_gb4	gb4	7g8
XD8/PG0105-C/ERR029144	b'Pf3D7_03_v3'	244511	244430	244592	162	7g8_gb4	7g8	gb4
7C126/PG0047-C/ERR015452	b'Pf3D7_03_v3'	253870	253011	254730	1719	hb3_dd2	dd2	hb3
7C7/PG0048-C/ERR019049	b'Pf3D7_03_v3'	273431	271828	275035	3207	hb3_dd2	hb3	dd2
JB12/PG0099-C/ERR029146	b'Pf3D7_03_v3'	298115	297048	299182	2134	7g8_gb4	gb4	7g8
C05/PG0068-C/ERR019065	b'Pf3D7_03_v3'	301762	300982	302542	1560	3d7_hb3	3d7	hb3
JC3/PG0077-CW/ERR045636	b'Pf3D7_03_v3'	306177	304814	307540	2726	7g8_gb4	7g8	gb4
XG10/PG0109-C/ERR029405	b'Pf3D7_03_v3'	312262	311876	312648	772	7g8_gb4	7g8	gb4
NF10/PG0096-C/ERR027108	b'Pf3D7_03_v3'	314749	312648	316851	4203	7g8_gb4	gb4	7g8
XD8/PG0105-C/ERR029144	b'Pf3D7_03_v3'	330328	329611	331046	1435	7g8_gb4	gb4	7g8
XG10/PG0109-C/ERR029405	b'Pf3D7_03_v3'	330328	329611	331046	1435	7g8_gb4	gb4	7g8
KH7/PG0088-C/ERR027111	b'Pf3D7_03_v3'	334416	333750	335082	1332	7g8_gb4	7g8	gb4
7C3/PG0034-C/ERR019047	b'Pf3D7_03_v3'	344027	342759	345295	2536	hb3_dd2	dd2	hb3
D43/PG0029-Cx/ERR107474	b'Pf3D7_03_v3'	344027	342759	345295	2536	hb3_dd2	dd2	hb3
XF12/PG0102-C/ERR029143	b'Pf3D7_03_v3'	349363	348941	349785	844	7g8_gb4	7g8	gb4
7C159/PG0040-Cx/ERR107475	b'Pf3D7_03_v3'	349901	347953	351849	3896	hb3_dd2	dd2	hb3
7C408/PG0031-C/ERR015458	b'Pf3D7_03_v3'	362438	361403	363473	2070	hb3_dd2	dd2	hb3
7C20/PG0037-C/ERR015451	b'Pf3D7_03_v3'	377090	376212	377968	1756	hb3_dd2	dd2	hb3
7C183/PG0042-C/ERR015448	b'Pf3D7_03_v3'	384019	383756	384283	527	hb3_dd2	hb3	dd2
KB8/PG0104-C/ERR029148	b'Pf3D7_03_v3'	398894	397174	400615	3441	7g8_gb4	gb4	7g8
C09/PG0072-C/ERR019057	b'Pf3D7_03_v3'	404454	403444	405464	2020	3d7_hb3	3d7	hb3
3BA6/PG0022-Cx/ERR126027	b'Pf3D7_03_v3'	409496	409300	409693	393	hb3_dd2	hb3	dd2
KB8/PG0104-C/ERR029148	b'Pf3D7_03_v3'	445831	445545	446118	573	7g8_gb4	7g8	gb4
QF5/PG0078-C/ERR029092	b'Pf3D7_03_v3'	456883	456862	456905	43	7g8_gb4	gb4	7g8
3BA6/PG0022-Cx/ERR126027	b'Pf3D7_03_v3'	458546	457954	459138	1184	hb3_dd2	dd2	hb3
7C408/PG0031-C/ERR015458	b'Pf3D7_03_v3'	477594	475760	479428	3668	hb3_dd2	hb3	dd2
C06/PG0069-C/ERR019055	b'Pf3D7_03_v3'	482877	482274	483480	1206	3d7_hb3	hb3	3d7
XB3/PG0093-C/ERR029105	b'Pf3D7_03_v3'	500725	499981	501469	1488	7g8_gb4	7g8	gb4
XG10/PG0109-C/ERR029405	b'Pf3D7_03_v3'	502417	502386	502449	63	7g8_gb4	7g8	gb4
7C188/PG0030-C/ERR019046	b'Pf3D7_03_v3'	509171	509096	509247	151	hb3_dd2	hb3	dd2
7C7/PG0048-C/ERR019049	b'Pf3D7_03_v3'	510666	510000	511333	1333	hb3_dd2	dd2	hb3
JF6/PG0079-C/ERR027102	b'Pf3D7_03_v3'	518648	516735	520561	3826	7g8_gb4	7g8	gb4
C15/PG0057-C/ERR019069	b'Pf3D7_03_v3'	530180	528963	531397	2434	3d7_hb3	3d7	hb3
QC23/PG0045-C/ERR012892	b'Pf3D7_03_v3'	546384	545253	547516	2263	hb3_dd2	hb3	dd2
7C12/PG0035-Cx/ERR037704	b'Pf3D7_03_v3'	564580	564127	565033	906	hb3_dd2	dd2	hb3
C01/PG0065-C/ERR019064	b'Pf3D7_03_v3'	567681	567506	567857	351	3d7_hb3	3d7	hb3
WC4/PG0082-C/ERR029093	b'Pf3D7_03_v3'	568365	567857	568874	1017	7g8_gb4	gb4	7g8
DAN/PG0098-C/ERR027110	b'Pf3D7_03_v3'	643320	643061	643580	519	7g8_gb4	7g8	gb4
B1SD/PG0015-C/ERR019044	b'Pf3D7_03_v3'	650483	649724	651242	1518	hb3_dd2	hb3	dd2
C04/PG0061-C/ERR019059	b'Pf3D7_03_v3'	650527	649812	651242	1430	3d7_hb3	3d7	hb3
C06/PG0069-C/ERR019055	b'Pf3D7_03_v3'	654408	654095	654721	626	3d7_hb3	3d7	hb3
WF12/PG0097-C/ERR027109	b'Pf3D7_03_v3'	687933	687658	688209	551	7g8_gb4	7g8	gb4
7C7/PG0048-C/ERR019049	b'Pf3D7_03_v3'	703577	703144	704010	866	hb3_dd2	hb3	dd2
1BB5/PG0023-C/ERR015449	b'Pf3D7_03_v3'	730588	728223	732954	4731	hb3_dd2	hb3	dd2
TC05/PG0027-C/ERR015450	b'Pf3D7_03_v3'	733863	732954	734772	1818	hb3_dd2	hb3	dd2
DEV/PG0081-CW/ERR045633	b'Pf3D7_03_v3'	736247	736187	736307	120	7g8_gb4	7g8	gb4
NF10/PG0096-C/ERR027108	b'Pf3D7_03_v3'	765692	765625	765760	135	7g8_gb4	7g8	gb4
KH7/PG0088-C/ERR027111	b'Pf3D7_03_v3'	769939	767765	772113	4348	7g8_gb4	gb4	7g8
JF6/PG0079-C/ERR027102	b'Pf3D7_03_v3'	782368	781868	782869	1001	7g8_gb4	gb4	7g8
QF5/PG0078-C/ERR029092	b'Pf3D7_03_v3'	814758	813800	815716	1916	7g8_gb4	7g8	gb4
WC4/PG0082-C/ERR029093	b'Pf3D7_03_v3'	832047	830848	833246	2398	7g8_gb4	7g8	gb4
GC06/PG0028-C/ERR015456	b'Pf3D7_03_v3'	860985	859854	862116	2262	hb3_dd2	hb3	dd2
QC23/PG0045-C/ERR012892	b'Pf3D7_03_v3'	878401	877523	879280	1757	hb3_dd2	dd2	hb3
XF12/PG0102-C/ERR029143	b'Pf3D7_03_v3'	879708	879603	879813	210	7g8_gb4	gb4	7g8
C05/PG0068-C/ERR019065	b'Pf3D7_03_v3'	901833	900722	902944	2222	3d7_hb3	hb3	3d7
TC05/PG0027-C/ERR015450	b'Pf3D7_03_v3'	905345	903730	906960	3230	hb3_dd2	dd2	hb3
TF1/PG0080-C/ERR027103	b'Pf3D7_03_v3'	905819	904441	907198	2757	7g8_gb4	gb4	7g8
7C159/PG0040-Cx/ERR107475	b'Pf3D7_03_v3'	907165	906960	907370	410	hb3_dd2	hb3	dd2
JC3/PG0077-CW/ERR045636	b'Pf3D7_03_v3'	912148	910795	913502	2707	7g8_gb4	gb4	7g8
3BD5/PG0024-C/ERR019053	b'Pf3D7_03_v3'	914859	912649	917070	4421	hb3_dd2	hb3	dd2
7C183/PG0042-C/ERR015448	b'Pf3D7_03_v3'	931150	930257	932044	1787	hb3_dd2	dd2	hb3
C09/PG0072-C/ERR019057	b'Pf3D7_03_v3'	938071	937965	938177	212	3d7_hb3	hb3	3d7
XG10/PG0109-C/ERR029405	b'Pf3D7_03_v3'	947574	947436	947713	277	7g8_gb4	gb4	7g8
QF5/PG0078-C/ERR029092	b'Pf3D7_03_v3'	948203	947713	948694	981	7g8_gb4	gb4	7g8
WF12/PG0097-C/ERR027109	b'Pf3D7_03_v3'	964073	962674	965472	2798	7g8_gb4	gb4	7g8
C04/PG0061-C/ERR019059	b'Pf3D7_03_v3'	977490	976566	978414	1848	3d7_hb3	hb3	3d7
1BB5/PG0023-C/ERR015449	b'Pf3D7_03_v3'	989138	988446	989830	1384	hb3_dd2	dd2	hb3
QC34/PG0026-C/ERR015453	b'Pf3D7_04_v3'	107988	107762	108214	452	hb3_dd2	dd2	hb3
DEV/PG0081-CW/ERR045633	b'Pf3D7_04_v3'	109657	109302	110012	710	7g8_gb4	gb4	7g8
TF1/PG0080-C/ERR027103	b'Pf3D7_04_v3'	143051	141896	144206	2310	7g8_gb4	7g8	gb4
TC08/PG0020-C/ERR019052	b'Pf3D7_04_v3'	153569	153173	153965	792	hb3_dd2	hb3	dd2
C04/PG0061-C/ERR019059	b'Pf3D7_04_v3'	165675	165586	165765	179	3d7_hb3	3d7	hb3
QF5/PG0078-C/ERR029092	b'Pf3D7_04_v3'	187429	187178	187681	503	7g8_gb4	7g8	gb4
7C408/PG0031-C/ERR015458	b'Pf3D7_04_v3'	191180	189757	192603	2846	hb3_dd2	dd2	hb3
JE11/PG0100-C/ERR029404	b'Pf3D7_04_v3'	191393	191233	191554	321	7g8_gb4	gb4	7g8
C15/PG0057-C/ERR019069	b'Pf3D7_04_v3'	200556	199824	201289	1465	3d7_hb3	3d7	hb3
7C140/PG0039-C/ERR015454	b'Pf3D7_04_v3'	282377	281543	283211	1668	hb3_dd2	dd2	hb3
WC4/PG0082-C/ERR029093	b'Pf3D7_04_v3'	294506	292400	296613	4213	7g8_gb4	gb4	7g8
3BA6/PG0022-Cx/ERR126027	b'Pf3D7_04_v3'	302013	301211	302815	1604	hb3_dd2	hb3	dd2
JE11/PG0100-C/ERR029404	b'Pf3D7_04_v3'	302222	301546	302899	1353	7g8_gb4	7g8	gb4
7C170/PG0041-C/ERR015446	b'Pf3D7_04_v3'	306236	306053	306420	367	hb3_dd2	hb3	dd2
GC06/PG0028-C/ERR015456	b'Pf3D7_04_v3'	324438	320903	327974	7071	hb3_dd2	dd2	hb3
XF12/PG0102-C/ERR029143	b'Pf3D7_04_v3'	341499	340956	342043	1087	7g8_gb4	7g8	gb4
B1SD/PG0015-C/ERR019044	b'Pf3D7_04_v3'	353143	352804	353482	678	hb3_dd2	dd2	hb3
3BA6/PG0022-Cx/ERR126027	b'Pf3D7_04_v3'	387254	386700	387808	1108	hb3_dd2	dd2	hb3
XD8/PG0105-C/ERR029144	b'Pf3D7_04_v3'	436951	435856	438047	2191	7g8_gb4	gb4	7g8
C09/PG0072-C/ERR019057	b'Pf3D7_04_v3'	453319	452053	454586	2533	3d7_hb3	3d7	hb3
NIC/PG0095-CW/ERR045631	b'Pf3D7_04_v3'	483706	483378	484034	656	7g8_gb4	7g8	gb4
KH7/PG0088-C/ERR027111	b'Pf3D7_04_v3'	489289	488769	489810	1041	7g8_gb4	7g8	gb4
C09/PG0072-C/ERR019057	b'Pf3D7_04_v3'	492711	491989	493434	1445	3d7_hb3	hb3	3d7
C07/PG0070-C/ERR019056	b'Pf3D7_04_v3'	522417	520970	523864	2894	3d7_hb3	3d7	hb3
XB3/PG0093-C/ERR029105	b'Pf3D7_04_v3'	527126	525658	528595	2937	7g8_gb4	gb4	7g8
D43/PG0029-Cx/ERR107474	b'Pf3D7_04_v3'	627569	627429	627709	280	hb3_dd2	dd2	hb3
CH3_61/PG0033-Cx/ERR175544	b'Pf3D7_04_v3'	643330	641283	645377	4094	hb3_dd2	dd2	hb3
7C183/PG0042-C/ERR015448	b'Pf3D7_04_v3'	672906	672440	673372	932	hb3_dd2	hb3	dd2
7C408/PG0031-C/ERR015458	b'Pf3D7_04_v3'	673457	673372	673542	170	hb3_dd2	hb3	dd2
3BD5/PG0024-C/ERR019053	b'Pf3D7_04_v3'	731916	729031	734801	5770	hb3_dd2	dd2	hb3
DAN/PG0098-C/ERR027110	b'Pf3D7_04_v3'	741348	741096	741600	504	7g8_gb4	gb4	7g8
7C3/PG0034-C/ERR019047	b'Pf3D7_04_v3'	745774	744600	746948	2348	hb3_dd2	hb3	dd2
7C183/PG0042-C/ERR015448	b'Pf3D7_04_v3'	771605	770260	772950	2690	hb3_dd2	dd2	hb3
AUD/PG0112-C/ERR029406	b'Pf3D7_04_v3'	780412	779909	780916	1007	7g8_gb4	7g8	gb4
7C16/PG0036-C/ERR015455	b'Pf3D7_04_v3'	800504	799863	801146	1283	hb3_dd2	hb3	dd2
CH3_61/PG0033-Cx/ERR175544	b'Pf3D7_04_v3'	856432	855791	857073	1282	hb3_dd2	hb3	dd2
7C46/PG0046-Cx/ERR107476	b'Pf3D7_04_v3'	860753	859387	862120	2733	hb3_dd2	dd2	hb3
KB8/PG0104-C/ERR029148	b'Pf3D7_04_v3'	878867	878122	879612	1490	7g8_gb4	7g8	gb4
7C188/PG0030-C/ERR019046	b'Pf3D7_04_v3'	879088	877813	880364	2551	hb3_dd2	dd2	hb3
NIC/PG0095-CW/ERR045631	b'Pf3D7_04_v3'	880659	880364	880954	590	7g8_gb4	gb4	7g8
B1SD/PG0015-C/ERR019044	b'Pf3D7_04_v3'	886813	886511	887115	604	hb3_dd2	hb3	dd2
7C170/PG0041-C/ERR015446	b'Pf3D7_04_v3'	897686	897349	898023	674	hb3_dd2	dd2	hb3
GC06/PG0028-C/ERR015456	b'Pf3D7_04_v3'	908657	908460	908855	395	hb3_dd2	hb3	dd2
7C3/PG0034-C/ERR019047	b'Pf3D7_04_v3'	909083	909034	909132	98	hb3_dd2	dd2	hb3
7C126/PG0047-C/ERR015452	b'Pf3D7_04_v3'	959150	934941	983360	48419	hb3_dd2	hb3	dd2
KA6/PG0091-C/ERR027117	b'Pf3D7_04_v3'	985818	983315	988322	5007	7g8_gb4	gb4	7g8
C07/PG0070-C/ERR019056	b'Pf3D7_04_v3'	1012765	1012608	1012923	315	3d7_hb3	hb3	3d7
JF6/PG0079-C/ERR027102	b'Pf3D7_04_v3'	1027769	1027662	1027876	214	7g8_gb4	7g8	gb4
WE2/PG0085-C/ERR027101	b'Pf3D7_04_v3'	1030715	1030228	1031203	975	7g8_gb4	7g8	gb4
B4R3/PG0018-C/ERR019042	b'Pf3D7_04_v3'	1032804	1030873	1034736	3863	hb3_dd2	hb3	dd2
7C101/PG0074-C/ERR019048	b'Pf3D7_04_v3'	1058269	1057830	1058708	878	hb3_dd2	dd2	hb3
LA10/PG0086-C/ERR029090	b'Pf3D7_04_v3'	1082461	1082197	1082725	528	7g8_gb4	gb4	7g8
TF1/PG0080-C/ERR027103	b'Pf3D7_04_v3'	1095508	1095029	1095988	959	7g8_gb4	gb4	7g8
CH3_116/PG0032-Cx/ERR037703	b'Pf3D7_04_v3'	1103728	1103436	1104020	584	hb3_dd2	dd2	hb3
C04/PG0061-C/ERR019059	b'Pf3D7_04_v3'	1109430	1107431	1111429	3998	3d7_hb3	hb3	3d7
KA6/PG0091-C/ERR027117	b'Pf3D7_04_v3'	1125550	1123902	1127199	3297	7g8_gb4	7g8	gb4
C06/PG0069-C/ERR019055	b'Pf3D7_05_v3'	110937	110728	111147	419	3d7_hb3	3d7	hb3
GC03/PG0021-C/ERR015447	b'Pf3D7_05_v3'	114532	114027	115038	1011	hb3_dd2	hb3	dd2
7C170/PG0041-C/ERR015446	b'Pf3D7_05_v3'	126774	124374	129174	4800	hb3_dd2	dd2	hb3
C10/PG0063-C/ERR019060	b'Pf3D7_05_v3'	131677	131223	132132	909	3d7_hb3	hb3	3d7
C15/PG0057-C/ERR019069	b'Pf3D7_05_v3'	144626	144161	145092	931	3d7_hb3	hb3	3d7
GC03/PG0021-C/ERR015447	b'Pf3D7_05_v3'	175539	175359	175719	360	hb3_dd2	dd2	hb3
C13/PG0054-C/ERR019062	b'Pf3D7_05_v3'	210732	209317	212147	2830	3d7_hb3	hb3	3d7
7C188/PG0030-C/ERR019046	b'Pf3D7_05_v3'	213705	212198	215213	3015	hb3_dd2	hb3	dd2
LA10/PG0086-C/ERR029090	b'Pf3D7_05_v3'	219187	218351	220024	1673	7g8_gb4	gb4	7g8
AUD/PG0112-C/ERR029406	b'Pf3D7_05_v3'	237147	235882	238412	2530	7g8_gb4	7g8	gb4
C12/PG0058-C/ERR019063	b'Pf3D7_05_v3'	251176	250806	251547	741	3d7_hb3	3d7	hb3
CH3_61/PG0033-Cx/ERR175544	b'Pf3D7_05_v3'	258986	258710	259263	553	hb3_dd2	dd2	hb3
QC13/PG0016-C/ERR012895	b'Pf3D7_05_v3'	260190	259643	260738	1095	hb3_dd2	hb3	dd2
QC34/PG0026-C/ERR015453	b'Pf3D7_05_v3'	262858	262554	263162	608	hb3_dd2	hb3	dd2
C14/PG0060-C/ERR019058	b'Pf3D7_05_v3'	277216	276047	278386	2339	3d7_hb3	3d7	hb3
JE11/PG0100-C/ERR029404	b'Pf3D7_05_v3'	284772	278718	290826	12108	7g8_gb4	gb4	7g8
QC01/PG0017-C/ERR019050	b'Pf3D7_05_v3'	285618	284568	286669	2101	hb3_dd2	dd2	hb3
7C126/PG0047-C/ERR015452	b'Pf3D7_05_v3'	287537	287282	287793	511	hb3_dd2	hb3	dd2
JB12/PG0099-C/ERR029146	b'Pf3D7_05_v3'	295144	294345	295943	1598	7g8_gb4	7g8	gb4
AL2/PG0103-CW/ERR045627	b'Pf3D7_05_v3'	310099	305003	315195	10192	7g8_gb4	gb4	7g8
C11/PG0064-C/ERR019071	b'Pf3D7_05_v3'	311525	311230	311821	591	3d7_hb3	hb3	3d7
C06/PG0069-C/ERR019055	b'Pf3D7_05_v3'	329215	328824	329606	782	3d7_hb3	hb3	3d7
KB8/PG0104-C/ERR029148	b'Pf3D7_05_v3'	353741	352439	355043	2604	7g8_gb4	gb4	7g8
QC13/PG0016-C/ERR012895	b'Pf3D7_05_v3'	355435	355043	355827	784	hb3_dd2	dd2	hb3
QC34/PG0026-C/ERR015453	b'Pf3D7_05_v3'	395165	394267	396064	1797	hb3_dd2	dd2	hb3
WF12/PG0097-C/ERR027109	b'Pf3D7_05_v3'	396184	394818	397551	2733	7g8_gb4	gb4	7g8
C07/PG0070-C/ERR019056	b'Pf3D7_05_v3'	398708	398359	399058	699	3d7_hb3	3d7	hb3
1BB5/PG0023-C/ERR015449	b'Pf3D7_05_v3'	434618	432082	437154	5072	hb3_dd2	dd2	hb3
C01/PG0065-C/ERR019064	b'Pf3D7_05_v3'	434756	434547	434965	418	3d7_hb3	3d7	hb3
3BA6/PG0022-Cx/ERR126027	b'Pf3D7_05_v3'	475574	472369	478779	6410	hb3_dd2	dd2	hb3
DEV/PG0081-CW/ERR045633	b'Pf3D7_05_v3'	489221	485181	493261	8080	7g8_gb4	gb4	7g8
XG10/PG0109-C/ERR029405	b'Pf3D7_05_v3'	530771	529994	531548	1554	7g8_gb4	gb4	7g8
