Loci	Mean_rho	Median	L95	U95
    45	   0.63903	   0.71264	   0.02769	   1.35771
    46	   0.63676	   0.71652	   0.00086	   1.46345
    47	   0.87048	   0.73265	   0.03080	   3.10334
    48	   0.82906	   0.73533	   0.09881	   1.69087
    49	   0.67200	   0.72220	   0.00116	   1.63958
    50	   0.70284	   0.72220	   0.00871	   1.54139
    51	   1.16269	   0.74795	   0.07508	   4.68525
    52	   1.12734	   0.74596	   0.35680	   3.59032
    53	   0.78570	   0.73533	   0.03019	   1.54139
    54	   0.74688	   0.72358	   0.03564	   1.78221
    55	   1.12447	   0.74692	   0.03079	   3.73100
    56	   0.74622	   0.72264	   0.10072	   1.47819
    57	   0.78759	   0.72530	   0.06043	   1.63958
    58	   0.76639	   0.72530	   0.03737	   1.46904
    59	   0.68063	   0.71652	   0.02148	   1.35771
    60	   1.03509	   0.73996	   0.05647	   3.24271
    61	   0.68175	   0.71887	   0.05871	   1.35771
    62	   0.81658	   0.72688	   0.01939	   2.33060
    63	   0.64233	   0.71652	   0.00077	   1.54139
    64	   1.29293	   0.74692	   0.07330	   5.36713
    65	   0.74935	   0.72530	   0.08364	   1.67462
    66	   1.68794	   0.75415	   0.12015	   6.24226
    67	   0.71954	   0.72220	   0.01753	   1.54139
    68	   0.76039	   0.72688	   0.06051	   1.63958
    69	   0.93588	   0.73996	   0.09084	   2.75085
    70	   0.60627	   0.71135	   0.00054	   1.33010
    71	   0.64207	   0.71134	   0.03013	   1.30230
    72	   0.90945	   0.73533	   0.02370	   2.42469
    73	   1.37410	   0.74596	   0.07025	   6.80685
    74	   0.56973	   0.70903	   0.01478	   1.14841
    75	   0.55815	   0.70872	   0.01119	   1.14644
    76	   0.56369	   0.70872	   0.03229	   1.14644
    77	   0.89071	   0.73975	   0.05747	   2.24632
    78	   0.76711	   0.71887	   0.23088	   1.49325
    79	   0.84477	   0.72220	   0.08296	   1.85203
    80	   0.79517	   0.71135	   0.26341	   2.07528
    81	   0.68017	   0.70903	   0.06495	   1.42666
    82	   0.75925	   0.72220	   0.16731	   1.26684
    83	   0.91975	   0.73730	   0.30764	   2.58412
    84	   0.53739	   0.69796	   0.01425	   0.78752
    85	   0.63853	   0.70795	   0.06664	   1.14013
    86	   0.55232	   0.69012	   0.05784	   0.76796
    87	   0.59694	   0.70082	   0.07208	   0.76796
    88	   0.54758	   0.68821	   0.03079	   0.76796
    89	   0.65522	   0.70903	   0.26725	   0.87847
    90	   0.50621	   0.68821	   0.00802	   0.76796
    91	   0.54384	   0.68821	   0.03896	   0.76796
    92	   0.70707	   0.70903	   0.03079	   1.38058
    93	   0.52183	   0.68821	   0.01171	   0.76796
    94	   0.51781	   0.68821	   0.00886	   0.76796
    95	   0.52547	   0.68821	   0.03966	   0.76796
    96	   0.59164	   0.70082	   0.06201	   0.81594
    97	   0.50255	   0.68821	   0.01898	   0.76796
    98	   0.61117	   0.70872	   0.02220	   1.04203
    99	   0.53178	   0.68821	   0.03079	   0.76796
   100	   0.55614	   0.68821	   0.05730	   0.76796
   101	   0.60593	   0.70134	   0.07129	   0.95323
   102	   0.54142	   0.69012	   0.03079	   0.77481
   103	   0.65775	   0.70903	   0.06175	   1.44223
   104	   0.55666	   0.69012	   0.03079	   0.76796
   105	   0.56464	   0.69796	   0.04387	   0.77481
   106	   0.52421	   0.68821	   0.00657	   0.76796
   107	   0.52772	   0.69012	   0.01696	   0.77481
   108	   0.52402	   0.69012	   0.02789	   0.77481
   109	   0.58777	   0.70134	   0.04251	   0.81594
   110	   0.51061	   0.68821	   0.01608	   0.76796
   111	   0.51516	   0.69012	   0.03046	   0.76796
   112	   0.67751	   0.71135	   0.19988	   0.99118
   113	   0.51118	   0.68821	   0.01436	   0.76796
   114	   0.73049	   0.70795	   0.06005	   2.90963
   115	   0.79327	   0.71209	   0.13371	   2.13230
   116	   0.52714	   0.69980	   0.01211	   0.78752
   117	   0.54967	   0.69980	   0.09479	   0.78752
   118	   0.51932	   0.69012	   0.02041	   0.76796
   119	   0.50314	   0.69012	   0.00513	   0.76796
   120	   0.65209	   0.70903	   0.10145	   1.38647
   121	   0.56076	   0.69980	   0.01654	   0.78752
   122	   0.73599	   0.71264	   0.18997	   1.52989
   123	   0.78247	   0.70975	   0.05139	   2.97505
   124	   0.70596	   0.70903	   0.08064	   1.63738
   125	   0.73634	   0.71134	   0.11283	   1.81076
   126	   0.53288	   0.70134	   0.00605	   0.77481
   127	   0.73275	   0.71209	   0.07584	   1.61959
   128	   0.55739	   0.70082	   0.03079	   0.76796
   129	   0.58469	   0.70082	   0.11259	   0.76796
   130	   0.54400	   0.70082	   0.04053	   0.76796
   131	   0.52713	   0.70082	   0.01321	   0.76796
   132	   0.69709	   0.70975	   0.06003	   1.29354
   133	   0.71954	   0.72220	   0.09029	   1.25426
   134	   0.67021	   0.70795	   0.10464	   1.00992
   135	   0.62517	   0.70246	   0.02263	   0.78752
   136	   0.62931	   0.70903	   0.01353	   1.10511
   137	   0.87895	   0.72220	   0.12447	   2.66850
   138	   0.75288	   0.71887	   0.03079	   1.81928
   139	   0.60776	   0.70795	   0.04022	   0.91912
   140	   0.59746	   0.70300	   0.02430	   0.81594
   141	   0.56081	   0.70246	   0.02032	   0.78752
   142	   0.78540	   0.70975	   0.06041	   2.82126
   143	   0.67889	   0.70975	   0.07652	   1.37456
   144	   0.69483	   0.71134	   0.03178	   1.44514
   145	   0.57356	   0.70246	   0.03795	   0.78752
   146	   0.89199	   0.72220	   0.13982	   4.91340
   147	   0.74602	   0.71652	   0.03987	   1.90770
   148	   0.53556	   0.70134	   0.01478	   0.76796
   149	   0.55106	   0.70134	   0.03246	   0.76796
   150	   0.53327	   0.70134	   0.00341	   0.76796
   151	   0.57711	   0.70134	   0.02333	   0.76796
   152	   0.90577	   0.72220	   0.13575	   2.86097
   153	   1.02833	   0.73265	   0.12376	   2.84153
   154	   0.63928	   0.70795	   0.10570	   0.78752
   155	   0.78330	   0.71264	   0.02707	   2.27827
   156	   0.58756	   0.70171	   0.04482	   0.78752
   157	   0.60694	   0.70795	   0.04502	   0.80039
   158	   0.57632	   0.70300	   0.03464	   0.78752
   159	   0.59124	   0.70171	   0.01615	   0.78752
   160	   0.53292	   0.70134	   0.01880	   0.77481
   161	   0.98497	   0.71887	   0.03223	   4.46401
   162	   0.64229	   0.70903	   0.03579	   0.85420
   163	   0.66845	   0.71134	   0.03309	   1.04957
   164	   0.69323	   0.71135	   0.04955	   1.19934
   165	   0.76424	   0.71264	   0.05903	   2.19441
   166	   0.53144	   0.70082	   0.00279	   0.76796
   167	   0.69253	   0.71209	   0.17205	   1.15799
   168	   0.59869	   0.70082	   0.07370	   0.76796
   169	   0.60512	   0.70082	   0.14131	   0.76796
   170	   0.60891	   0.70300	   0.04498	   1.51293
   171	   0.57836	   0.70300	   0.02285	   0.93730
   172	   0.58097	   0.70134	   0.07135	   0.77481
   173	   0.94536	   0.71652	   0.16511	   3.61069
   174	   0.53369	   0.70134	   0.02331	   0.77481
   175	   0.76048	   0.71887	   0.08454	   1.76134
   176	   0.69368	   0.71135	   0.15524	   1.18226
   177	   0.69014	   0.71134	   0.08678	   1.23337
   178	   0.82152	   0.72530	   0.05019	   2.04608
   179	   0.59725	   0.70246	   0.03079	   0.81594
   180	   0.58311	   0.70171	   0.07187	   0.78752
   181	   0.83275	   0.71264	   0.03975	   2.70742
   182	   0.86399	   0.71652	   0.16636	   2.64903
   183	   0.75644	   0.71134	   0.14333	   2.11962
   184	   0.52945	   0.70134	   0.00633	   0.77481
   185	   0.61649	   0.70872	   0.09626	   0.81594
   186	   0.59427	   0.70134	   0.08889	   0.77481
   187	   0.60049	   0.70300	   0.01875	   1.02084
   188	   0.95247	   0.72912	   0.35387	   2.24916
   189	   0.66221	   0.70975	   0.09768	   0.93088
   190	   0.59011	   0.70246	   0.03721	   0.81594
   191	   0.86342	   0.71887	   0.18476	   2.41330
   192	   0.59315	   0.70246	   0.05431	   0.81594
   193	   1.13890	   0.73265	   0.13128	   4.19331
   194	   0.92223	   0.71887	   0.05021	   3.10968
   195	   0.68698	   0.70872	   0.02949	   1.80362
   196	   0.57246	   0.70246	   0.01358	   0.81594
   197	   0.92816	   0.72358	   0.46577	   2.24499
   198	   1.19628	   0.72264	   0.30006	   7.78777
   199	   0.72447	   0.71209	   0.08333	   1.51713
   200	   0.54379	   0.70134	   0.01931	   0.77481
   201	   0.62265	   0.70795	   0.05245	   0.87196
   202	   0.52190	   0.70134	   0.00358	   0.77481
   203	   1.10645	   0.73265	   0.18740	   3.06323
   204	   0.54203	   0.70134	   0.00760	   0.76796
   205	   0.54178	   0.70134	   0.02304	   0.76796
   206	   0.58219	   0.70134	   0.11037	   0.76796
   207	   0.70348	   0.70903	   0.03079	   1.40846
   208	   0.64805	   0.70975	   0.05473	   0.91193
   209	   0.72682	   0.71264	   0.03079	   1.48624
   210	   0.57106	   0.70082	   0.03544	   0.76796
   211	   0.74376	   0.71209	   0.03970	   1.74215
   212	   0.74183	   0.71652	   0.09758	   1.48012
   213	   0.62146	   0.70300	   0.07327	   0.78752
   214	   0.58070	   0.70082	   0.08254	   0.76796
   215	   0.52357	   0.70082	   0.00281	   0.76796
   216	   0.53093	   0.70082	   0.00826	   0.76796
   217	   0.54141	   0.70082	   0.02489	   0.76796
   218	   0.54640	   0.70082	   0.03059	   0.76796
   219	   0.58603	   0.70134	   0.04437	   0.77481
   220	   0.83529	   0.71135	   0.14412	   3.57547
   221	   0.58618	   0.70134	   0.04214	   0.76796
   222	   0.54790	   0.70082	   0.02815	   0.76796
   223	   0.63326	   0.70300	   0.07578	   0.78752
   224	   0.54223	   0.70082	   0.01731	   0.76796
   225	   0.69379	   0.71135	   0.10760	   1.30105
   226	   0.54687	   0.70082	   0.01553	   0.76796
   227	   0.76922	   0.71652	   0.14620	   1.79486
   228	   0.66827	   0.70991	   0.04130	   1.02001
   229	   0.67080	   0.71264	   0.07406	   0.87625
   230	   0.64690	   0.70872	   0.08942	   0.90782
   231	   1.02926	   0.72912	   0.58154	   4.40626
   232	   0.54766	   0.70082	   0.03079	   0.76796
   233	   0.58226	   0.70134	   0.03079	   0.77481
   234	   0.55763	   0.70082	   0.02084	   0.76796
   235	   0.56857	   0.70082	   0.02110	   0.76796
   236	   0.66465	   0.70903	   0.05233	   1.91536
   237	   1.00619	   0.72264	   0.34619	   5.11383
   238	   0.62168	   0.70795	   0.05502	   1.05236
   239	   0.56840	   0.70082	   0.06663	   0.76796
   240	   0.55331	   0.70082	   0.02721	   0.76796
   241	   0.87039	   0.72688	   0.09607	   2.47086
   242	   0.58033	   0.70134	   0.11501	   0.77481
   243	   0.90969	   0.72912	   0.03079	   2.27189
   244	   0.65123	   0.70872	   0.03105	   1.36323
   245	   0.55297	   0.70134	   0.02319	   0.77481
   246	   0.75878	   0.71652	   0.13560	   1.92986
   247	   0.63174	   0.70795	   0.06307	   1.30855
   248	   0.91485	   0.71264	   0.13658	   4.11934
   249	   0.54903	   0.70171	   0.01383	   0.78752
   250	   0.55749	   0.70171	   0.01598	   0.78752
   251	   0.87859	   0.71887	   0.07243	   2.43026
   252	   0.93078	   0.71887	   0.05755	   2.75567
   253	   0.55530	   0.70171	   0.03079	   0.78752
   254	   0.55261	   0.70171	   0.03479	   0.78752
   255	   0.82095	   0.72264	   0.05669	   1.73126
   256	   0.80359	   0.71264	   0.20829	   1.71417
   257	   0.62209	   0.70171	   0.15353	   0.77481
   258	   0.56321	   0.70134	   0.04116	   0.77481
   259	   0.84894	   0.72264	   0.06636	   2.83354
   260	   0.61574	   0.70300	   0.04856	   0.83137
   261	   0.52537	   0.70082	   0.01127	   0.76796
   262	   0.51594	   0.70082	   0.00222	   0.76796
   263	   0.80295	   0.71209	   0.03079	   3.26553
   264	   0.55071	   0.70134	   0.01221	   0.77481
   265	   0.52829	   0.70082	   0.01303	   0.76796
   266	   0.53111	   0.70082	   0.00485	   0.76796
   267	   0.86766	   0.70975	   0.11843	   4.19461
   268	   0.63290	   0.70795	   0.03079	   0.80169
   269	   0.59013	   0.70134	   0.02823	   0.77481
   270	   0.62737	   0.70872	   0.06130	   0.79668
   271	   0.67778	   0.70903	   0.23500	   1.12764
   272	   0.58261	   0.70300	   0.05410	   0.78752
   273	   0.52456	   0.70082	   0.00384	   0.76796
   274	   0.59827	   0.70246	   0.01385	   0.77481
   275	   0.70085	   0.70903	   0.07538	   1.06739
   276	   0.59424	   0.70171	   0.03339	   0.77481
   277	   0.60061	   0.70171	   0.02120	   0.81594
   278	   0.68158	   0.70975	   0.09375	   1.20974
   279	   0.61178	   0.70134	   0.07153	   0.78752
   280	   0.78189	   0.71264	   0.03079	   3.23286
   281	   0.89045	   0.70991	   0.03079	   4.86029
   282	   1.05110	   0.72264	   0.02593	   4.05468
   283	   0.71726	   0.70975	   0.12070	   1.74835
   284	   0.61932	   0.70171	   0.05876	   0.81594
   285	   0.77751	   0.71264	   0.14333	   1.88897
   286	   0.70619	   0.71264	   0.02580	   1.35003
   287	   0.62108	   0.70903	   0.06143	   0.81594
   288	   0.61408	   0.70171	   0.08529	   0.86962
   289	   0.64430	   0.70903	   0.03535	   2.01276
   290	   0.67430	   0.70872	   0.03682	   1.71699
   291	   0.56720	   0.70134	   0.03264	   0.83104
   292	   0.66740	   0.71134	   0.13695	   1.03501
   293	   0.40221	   0.35603	   0.01707	   0.76741
   294	   0.27922	   0.16777	   0.03079	   0.75950
   295	   0.20699	   0.16382	   0.03971	   0.67627
   296	   0.19397	   0.16351	   0.03226	   0.62964
   297	   0.21591	   0.16893	   0.06496	   0.62121
   298	   0.28725	   0.17003	   0.10625	   1.04159
   299	   0.20404	   0.16405	   0.01972	   0.62121
   300	   0.21993	   0.16610	   0.01874	   0.80404
   301	   0.71787	   0.17334	   0.07658	   5.18885
   302	   0.34905	   0.17334	   0.08894	   1.17127
   303	   0.50714	   0.17003	   0.02974	   2.34916
   304	   0.13735	   0.15295	   0.01888	   0.21837
   305	   0.13199	   0.15470	   0.00499	   0.21837
   306	   0.48977	   0.16928	   0.07718	   3.43405
   307	   0.18403	   0.16351	   0.03079	   0.63504
   308	   0.19905	   0.16983	   0.03245	   0.38901
   309	   0.15478	   0.15974	   0.01976	   0.24715
   310	   0.17196	   0.16610	   0.01069	   0.29885
   311	   0.21923	   0.17158	   0.13695	   0.56825
   312	   0.14039	   0.15470	   0.00363	   0.23307
   313	   0.15732	   0.15974	   0.00443	   0.38723
   314	   0.16398	   0.15982	   0.01467	   0.41029
   315	   0.18695	   0.16351	   0.03079	   0.66514
   316	   0.12690	   0.15287	   0.00354	   0.21808
   317	   0.15695	   0.16057	   0.02576	   0.25769
   318	   0.18508	   0.16232	   0.06476	   0.50347
   319	   0.49768	   0.17367	   0.13728	   2.43892
   320	   0.42661	   0.16983	   0.05201	   2.41548
   321	   0.23391	   0.16660	   0.02666	   0.92312
   322	   0.19546	   0.16351	   0.03039	   0.61408
   323	   0.14520	   0.15557	   0.02976	   0.23307
   324	   0.28897	   0.17003	   0.09231	   1.01594
   325	   0.13226	   0.15244	   0.00745	   0.21706
   326	   0.21406	   0.16477	   0.03723	   0.70720
   327	   0.35660	   0.16777	   0.07941	   2.80388
   328	   0.12727	   0.15244	   0.01001	   0.21706
   329	   0.28576	   0.16660	   0.05436	   1.48346
   330	   0.15625	   0.15557	   0.00823	   0.27775
   331	   0.16045	   0.16057	   0.02482	   0.23307
   332	   0.18704	   0.16382	   0.01899	   0.60325
   333	   0.24026	   0.16660	   0.02040	   1.07448
   334	   0.13851	   0.15295	   0.03079	   0.21706
   335	   0.13017	   0.15287	   0.00465	   0.21706
   336	   0.17989	   0.16351	   0.05329	   0.49036
   337	   0.18896	   0.16382	   0.04530	   0.65931
   338	   0.13739	   0.15287	   0.03292	   0.21706
   339	   0.14752	   0.15974	   0.02777	   0.23307
   340	   0.20980	   0.16610	   0.02263	   0.57646
   341	   0.24106	   0.16477	   0.02112	   0.83954
   342	   0.14748	   0.15522	   0.01030	   0.23307
   343	   0.37064	   0.16928	   0.04124	   2.17310
   344	   0.24119	   0.16172	   0.03085	   1.07248
   345	   0.57018	   0.17354	   0.13695	   2.48347
   346	   0.44264	   0.17121	   0.12789	   2.54919
   347	   0.16035	   0.15982	   0.01181	   0.37096
   348	   0.16974	   0.15982	   0.01201	   0.26205
   349	   0.20943	   0.16351	   0.03079	   0.83529
   350	   0.13843	   0.15295	   0.03079	   0.21706
   351	   0.16021	   0.15557	   0.03154	   0.46490
   352	   0.23972	   0.16777	   0.03129	   0.82558
   353	   0.15618	   0.15851	   0.03247	   0.23307
   354	   0.24536	   0.16660	   0.03757	   0.84093
   355	   0.14339	   0.15522	   0.02601	   0.21963
   356	   0.16685	   0.16405	   0.06749	   0.26137
   357	   0.13768	   0.15470	   0.01007	   0.21706
   358	   0.18202	   0.16098	   0.02267	   0.51535
   359	   0.15070	   0.15470	   0.03507	   0.21808
   360	   0.17443	   0.16098	   0.03079	   0.54624
   361	   0.18895	   0.16125	   0.02242	   0.55598
   362	   0.19590	   0.16660	   0.04928	   0.52685
   363	   0.16988	   0.16007	   0.01595	   0.54624
   364	   0.26454	   0.17003	   0.12789	   0.97397
   365	   0.29023	   0.16983	   0.06876	   0.94233
   366	   0.18424	   0.16098	   0.03729	   0.65300
   367	   0.13713	   0.15287	   0.01242	   0.21808
   368	   0.19171	   0.16351	   0.03079	   0.59774
   369	   0.28297	   0.16477	   0.01421	   1.36602
   370	   0.20086	   0.16893	   0.02199	   0.42237
   371	   0.19785	   0.16172	   0.05063	   0.88320
   372	   0.18525	   0.16172	   0.04934	   0.47830
   373	   0.42457	   0.17334	   0.12789	   1.79265
   374	   0.24237	   0.17003	   0.06153	   0.68818
   375	   0.29600	   0.16660	   0.03738	   1.40778
   376	   0.13660	   0.15287	   0.01668	   0.21706
   377	   0.29376	   0.16284	   0.03334	   1.79516
   378	   0.17741	   0.16382	   0.03715	   0.44700
   379	   0.21561	   0.16660	   0.06975	   0.68498
   380	   0.16674	   0.16351	   0.00998	   0.27376
   381	   0.20210	   0.16983	   0.12789	   0.47442
   382	   0.23426	   0.17121	   0.06169	   0.70002
   383	   0.15024	   0.15522	   0.01932	   0.32053
   384	   0.25296	   0.16983	   0.10596	   0.86919
   385	   0.13575	   0.15287	   0.00246	   0.21808
   386	   0.19699	   0.16351	   0.03211	   0.55675
   387	   0.17661	   0.16057	   0.01163	   0.55675
   388	   0.15308	   0.15470	   0.02403	   0.23307
   389	   0.21621	   0.17121	   0.12789	   0.46915
   390	   0.26003	   0.16405	   0.02894	   1.37179
   391	   0.21059	   0.16928	   0.04715	   0.50772
   392	   0.30971	   0.16928	   0.07001	   1.14182
   393	   0.15444	   0.16007	   0.01617	   0.24649
   394	   0.19714	   0.16660	   0.07010	   0.60681
   395	   0.15481	   0.15982	   0.00943	   0.27384
   396	   0.21747	   0.16983	   0.10458	   0.66814
   397	   0.15009	   0.15535	   0.00672	   0.30208
   398	   0.17833	   0.16007	   0.01449	   0.62692
   399	   0.12976	   0.15470	   0.00053	   0.21808
   400	   0.18077	   0.16382	   0.02643	   0.45915
   401	   0.19865	   0.16477	   0.01523	   0.61662
   402	   0.23180	   0.16660	   0.06865	   0.88962
   403	   0.13403	   0.15295	   0.01434	   0.21808
   404	   0.18787	   0.16610	   0.03079	   0.42932
   405	   0.13301	   0.15287	   0.01604	   0.21706
   406	   0.17709	   0.16172	   0.02891	   0.38752
   407	   0.16010	   0.16007	   0.02965	   0.29685
   408	   0.17719	   0.16057	   0.00129	   0.54130
   409	   0.12681	   0.15244	   0.00511	   0.21706
   410	   0.13940	   0.15287	   0.02414	   0.21808
   411	   0.33300	   0.17003	   0.06798	   1.33385
   412	   0.15862	   0.16007	   0.00908	   0.32364
   413	   0.15176	   0.15974	   0.00396	   0.32364
   414	   0.14366	   0.15535	   0.02180	   0.24390
   415	   0.25456	   0.16536	   0.01659	   1.29423
   416	   0.22922	   0.16983	   0.05925	   0.85411
   417	   0.19469	   0.16172	   0.02251	   0.57309
   418	   0.18883	   0.16382	   0.03180	   0.55127
   419	   0.20327	   0.16660	   0.01853	   0.45999
   420	   0.31407	   0.17693	   0.12894	   0.93053
   421	   0.16640	   0.15557	   0.01011	   0.45347
   422	   0.18251	   0.15557	   0.01826	   0.45999
   423	   0.20827	   0.16610	   0.03079	   0.48830
   424	   0.26704	   0.18467	   0.04157	   0.79918
   425	   0.70475	   0.45318	   0.14519	   2.23983
   426	   0.51841	   0.45058	   0.01223	   1.59253
   427	   0.72856	   0.46432	   0.15392	   1.58510
   428	   0.55194	   0.45373	   0.07299	   1.13096
   429	   0.51257	   0.45023	   0.04944	   1.13096
   430	   0.48974	   0.45023	   0.00731	   1.13096
   431	   0.56696	   0.45347	   0.03959	   1.13096
   432	   0.64463	   0.46087	   0.03079	   1.46012
   433	   0.67933	   0.45619	   0.04340	   1.79117
   434	   0.79356	   0.45619	   0.03212	   3.72503
   435	   0.58571	   0.45373	   0.03079	   1.16649
   436	   0.53461	   0.45138	   0.01835	   1.14138
   437	   0.70884	   0.46747	   0.08290	   1.82506
   438	   0.58873	   0.45739	   0.06219	   1.14138
   439	   0.49144	   0.45058	   0.00628	   1.13096
   440	   0.72258	   0.46747	   0.04742	   1.66267
   441	   0.66637	   0.46621	   0.14797	   1.16649
   442	   0.61320	   0.45739	   0.05843	   1.25803
   443	   0.65090	   0.45739	   0.03079	   1.36402
   444	   1.39072	   0.71660	   0.13881	   5.54126
   445	   0.56537	   0.45289	   0.07218	   1.14138
   446	   0.72374	   0.47135	   0.16782	   1.67126
   447	   0.75010	   0.48830	   0.06554	   1.67126
   448	   0.87913	   0.46621	   0.02374	   2.67036
   449	   0.69621	   0.46621	   0.10582	   1.36929
   450	   0.48166	   0.44804	   0.07938	   1.09205
   451	   0.52206	   0.44980	   0.15660	   1.09205
   452	   0.65329	   0.45373	   0.02750	   1.74805
   453	   0.50432	   0.44240	   0.11980	   1.13624
   454	   0.54228	   0.44944	   0.01664	   1.23365
   455	   0.61459	   0.45347	   0.04096	   1.24837
   456	   0.41702	   0.43841	   0.01846	   1.02372
   457	   0.67201	   0.45318	   0.12261	   2.01005
   458	   0.46891	   0.44170	   0.05311	   1.08224
   459	   0.44330	   0.43936	   0.03889	   1.02372
   460	   0.38292	   0.43501	   0.03079	   0.79918
   461	   0.50490	   0.44151	   0.11210	   1.02373
   462	   0.73083	   0.44804	   0.03502	   2.64500
   463	   0.49173	   0.43923	   0.03079	   1.02860
   464	   0.36288	   0.43689	   0.01046	   0.53639
   465	   0.36235	   0.43376	   0.02305	   0.48830
   466	   0.36817	   0.43322	   0.02543	   0.47135
   467	   0.59095	   0.43936	   0.08864	   2.92123
   468	   0.54663	   0.44314	   0.06520	   1.20983
   469	   0.34102	   0.43322	   0.01057	   0.47135
   470	   0.40732	   0.43501	   0.19510	   0.48830
   471	   0.86676	   0.44804	   0.30971	   6.42070
   472	   0.44497	   0.43880	   0.02500	   1.08723
   473	   0.36758	   0.43413	   0.01637	   0.48830
   474	   0.64903	   0.44809	   0.09953	   2.34001
   475	   0.47074	   0.44648	   0.14755	   0.83875
   476	   0.36005	   0.43376	   0.02917	   0.47757
   477	   0.34681	   0.43322	   0.02354	   0.47135
   478	   0.41633	   0.43880	   0.08517	   0.52041
   479	   0.49657	   0.44944	   0.06168	   0.95013
   480	   0.46510	   0.44314	   0.08219	   1.00097
   481	   0.33787	   0.43376	   0.00519	   0.47757
   482	   0.44785	   0.43890	   0.01761	   1.11812
   483	   0.37982	   0.43376	   0.03079	   0.47757
   484	   0.36896	   0.43819	   0.00807	   0.54683
   485	   0.34705	   0.43413	   0.01020	   0.48830
   486	   0.44605	   0.43923	   0.09684	   0.99543
   487	   0.40277	   0.43819	   0.01540	   0.86530
   488	   0.62831	   0.44240	   0.05549	   3.40030
   489	   0.53967	   0.44804	   0.05059	   1.17993
   490	   0.38639	   0.43501	   0.09094	   0.49874
   491	   0.55802	   0.44314	   0.03134	   1.47247
   492	   0.59749	   0.44804	   0.17272	   2.26831
   493	   0.46105	   0.44170	   0.08286	   0.75664
   494	   0.54174	   0.44804	   0.14113	   1.24955
   495	   0.39738	   0.43501	   0.04526	   0.56563
   496	   0.36683	   0.43376	   0.02179	   0.47135
   497	   0.33666	   0.43322	   0.00415	   0.47135
   498	   0.50313	   0.44151	   0.03079	   1.57275
   499	   0.80475	   0.44314	   0.04895	   4.24553
   500	   0.39422	   0.43841	   0.03079	   0.54037
   501	   0.58841	   0.44804	   0.08619	   1.83023
   502	   0.33230	   0.43322	   0.00216	   0.47135
   503	   0.37834	   0.43413	   0.03079	   0.50712
   504	   0.35690	   0.43322	   0.03261	   0.47135
   505	   0.53966	   0.44141	   0.05185	   2.07083
   506	   0.49699	   0.43880	   0.00474	   2.10453
   507	   0.81913	   0.44648	   0.04090	   3.64313
   508	   0.44992	   0.43880	   0.03079	   1.07313
   509	   0.47003	   0.43923	   0.07997	   1.03327
   510	   0.45178	   0.43923	   0.05140	   1.37690
   511	   0.43874	   0.43819	   0.15995	   0.96258
   512	   0.33298	   0.43265	   0.00651	   0.46950
   513	   0.47476	   0.44141	   0.03318	   1.23589
   514	   0.37795	   0.43228	   0.01075	   0.46747
   515	   0.33442	   0.43228	   0.00754	   0.46747
   516	   0.35721	   0.43228	   0.04861	   0.46747
