
Sliding windows analysis - rho for total gene = 0.04624 per bp/kb

SNP_L	 SNP_R	 #SNPs	4Ner/bp/kb	 CLR	  Tajima's D

   1322.68	   1303.30	   0	  -0.00000	   2733.29	      -nan
   1332.98 -    1332.98 : no data
   1361.81	   1352.24	   0	  -0.10447	   2653.44	      -nan
   1378.72	   1370.20	   0	  -0.00000	   2739.52	      -nan
   1396.98	   1398.67	   5	   1.18413	   2623.99	    -1.286
   1418.94 -    1418.94 : no data
   1445.20	   1440.20	   0	  -0.39976	   2409.52	      -nan
   1463.86 -    1463.86 : no data
   1484.76	   1484.80	   2	 114.28571	   2323.86	     0.590
   1515.36	   1501.32	   0	  -0.28492	   2278.97	      -nan
   1530.72	   1526.56	   0	  -1.20106	   2207.07	      -nan
   1550.41	   1551.40	   2	   6.04839	   2165.29	    -0.724
   1579.49	   1569.71	   0	  -0.61362	   2155.89	      -nan
   1595.42	   1592.95	   0	  -2.82828	   2146.87	      -nan
   1615.35	   1616.22	   3	   9.15332	   2084.02	    -0.973
   1637.25	   1637.65	   3	  20.15113	   2044.39	    -1.134
   1660.67 -    1660.67 : no data
   1681.29	   1681.41	   2	  73.77049	   1684.82	    -0.610
   1747.04	   1688.39	   0	  -0.11936	   1702.31	      -nan
   1747.04	   1688.39	   0	  -0.11936	   1702.31	      -nan
   1747.04	   1747.89	   2	  11.66861	   1700.25	    -1.464
   1772.01	   1767.01	   0	  -1.80144	   1619.79	      -nan
   1790.88	   1791.29	   2	  23.86635	   1563.68	    -1.024
   1813.76	   1806.04	   0	  -1.29483	   1406.21	      -nan
   1834.36	   1834.46	   3	 102.04082	   1458.83	    -0.308
   1860.04	   1848.82	   0	  -0.89150	   1460.97	      -nan
   1881.44	   1868.90	   0	  -0.79751	   1360.56	      -nan
   1900.66 -    1900.66 : no data
   1928.19	   1918.75	   0	  -1.16562	   1034.83	      -nan
   1945.16	   1934.74	   0	  -1.05607	    966.38	      -nan
   1965.72 -    1965.72 : no data
   1989.60	   1982.47	   0	  -1.54408	    824.99	      -nan
   2009.10 -    2009.10 : no data
   2030.11	   2030.69	   2	  22.14651	    713.37	    -1.464
   2052.55 -    2052.55 : no data
   2073.49	   2073.60	   2	 111.11111	    710.82	    -1.164
   2097.41	   2092.97	   0	  -2.47748	    623.91	      -nan
   2117.93	   2118.78	   4	  15.42112	    248.45	    -0.848
   2139.83	   2140.53	   2	  21.42857	    107.04	     0.173
   2162.66	   2155.95	   0	 -14.89425	      0.00	      -nan
